Timestamp,Memory_Usage_%,Memory_Used_MB,Disk_Usage_%,CPU_Usage_%,Net_In_KB/s,Net_Out_KB/s,gpu_0_util_%,gpu_0_mem_used_mb,gpu_0_mem_total_mb,gpu_1_util_%,gpu_1_mem_used_mb,gpu_1_mem_total_mb,gpu_2_util_%,gpu_2_mem_used_mb,gpu_2_mem_total_mb,gpu_3_util_%,gpu_3_mem_used_mb,gpu_3_mem_total_mb
2026-04-09 14:12:37,15.89,40925.0,51.0,11.4,0,0,12,3185,49140,100,2615,49140,0,20,49140,7,25367,49140
2026-04-09 14:12:44,15.88,40907.0,51.0,6.2,0,0,5,3185,49140,66,2615,49140,0,20,49140,9,25367,49140
2026-04-09 14:12:50,15.85,40819.0,51.0,5.4,0,0,3,3185,49140,100,2615,49140,0,20,49140,7,25367,49140
2026-04-09 14:12:56,15.83,40769.0,51.0,5.6,0,0,25,3239,49140,99,2615,49140,0,20,49140,3,25367,49140
2026-04-09 14:13:03,15.84,40799.0,51.0,12.3,0,0,13,3239,49140,0,2615,49140,0,20,49140,9,25367,49140
2026-04-09 14:13:09,15.82,40746.0,51.0,5.7,0,0,17,3244,49140,59,2615,49140,0,20,49140,7,25367,49140
2026-04-09 14:13:16,15.82,40742.0,51.0,6.1,0,0,11,2256,49140,100,2615,49140,0,20,49140,3,25367,49140
2026-04-09 14:13:22,15.82,40756.0,51.0,9.6,0,0,7,2740,49140,100,2615,49140,0,20,49140,3,25367,49140
2026-04-09 14:13:29,15.66,40342.0,51.0,12.9,0,0,21,3223,49140,100,2615,49140,0,20,49140,4,25367,49140
2026-04-09 14:13:35,15.67,40360.0,51.0,6.4,0,0,2,3223,49140,100,2615,49140,0,20,49140,3,25367,49140
2026-04-09 14:13:42,15.65,40310.0,51.0,12.9,0,0,7,3223,49140,78,2615,49140,0,20,49140,3,25367,49140
2026-04-09 14:13:48,15.65,40304.0,51.0,7.4,0,0,4,3223,49140,0,2615,49140,0,20,49140,4,10479,49140
2026-04-09 14:13:55,15.65,40314.0,51.0,18.5,0,0,15,3223,49140,37,2615,49140,0,20,49140,15,13389,49140
2026-04-09 14:14:01,15.67,40358.0,51.0,14.9,0,0,26,3223,49140,100,2615,49140,0,20,49140,26,13389,49140
2026-04-09 14:14:07,15.68,40385.0,51.0,6.4,0,0,9,3223,49140,100,2615,49140,0,20,49140,3,13389,49140
2026-04-09 14:14:14,15.68,40384.0,51.0,15.5,0,0,4,3223,49140,100,2615,49140,0,20,49140,35,13403,49140
2026-04-09 14:14:20,15.68,40378.0,51.0,7.4,0,0,5,3223,49140,99,2615,49140,0,20,49140,3,13403,49140
2026-04-09 14:14:27,15.68,40384.0,51.0,20.3,0,0,4,3223,49140,0,2615,49140,0,20,49140,2,13403,49140
2026-04-09 14:14:33,15.67,40368.0,51.0,12.3,0,0,22,3223,49140,38,2615,49140,0,20,49140,3,13405,49140
2026-04-09 14:14:40,15.67,40358.0,51.0,6.0,0,0,3,3223,49140,100,2615,49140,0,20,49140,2,13403,49140
2026-04-09 14:14:46,15.68,40374.0,51.0,10.9,0,0,7,3223,49140,55,2615,49140,0,20,49140,4,13403,49140
2026-04-09 14:14:53,15.68,40376.0,51.0,20.1,0,0,11,3223,49140,0,2615,49140,0,20,49140,3,13403,49140
2026-04-09 14:14:59,15.68,40385.0,51.0,13.8,0,0,4,3223,49140,100,2615,49140,0,20,49140,4,13403,49140
2026-04-09 14:15:05,15.67,40365.0,51.0,5.9,0,0,27,3223,49140,100,2615,49140,0,20,49140,3,13403,49140
2026-04-09 14:15:12,15.67,40364.0,51.0,12.5,0,0,26,3223,49140,99,2615,49140,0,20,49140,2,16371,49140
2026-04-09 14:15:18,15.66,40341.0,51.0,16.2,0,0,11,3223,49140,100,2615,49140,0,20,49140,3,16373,49140
2026-04-09 14:15:25,15.66,40335.0,51.0,6.9,0,0,18,3223,49140,100,2615,49140,0,20,49140,12,16371,49140
2026-04-09 14:15:31,15.66,40330.0,51.0,6.9,0,0,2,3223,49140,100,2615,49140,0,20,49140,53,16371,49140
2026-04-09 14:15:38,15.66,40346.0,51.0,6.3,0,0,5,3223,49140,82,2615,49140,0,20,49140,33,16371,49140
2026-04-09 14:15:44,15.66,40326.0,51.0,20.9,0,0,5,3223,49140,0,2615,49140,0,20,49140,3,16371,49140
2026-04-09 14:15:51,15.66,40343.0,51.0,21.2,0,0,12,3223,49140,100,2615,49140,0,20,49140,3,16373,49140
2026-04-09 14:15:57,15.67,40366.0,51.0,11.2,0,0,5,3223,49140,100,2615,49140,0,20,49140,4,16371,49140
2026-04-09 14:16:04,15.66,40340.0,51.0,17.6,0,0,4,3223,49140,14,2615,49140,0,20,49140,10,16371,49140
2026-04-09 14:16:10,15.66,40343.0,51.0,16.9,0,0,22,3223,49140,99,2615,49140,0,20,49140,4,16373,49140
2026-04-09 14:16:17,15.67,40360.0,51.0,5.8,0,0,27,3223,49140,100,2615,49140,0,20,49140,3,16371,49140
2026-04-09 14:16:23,15.66,40338.0,51.0,10.3,0,0,14,3223,49140,13,2615,49140,0,20,49140,4,16373,49140
2026-04-09 14:16:29,15.67,40349.0,51.0,17.3,0,0,4,3223,49140,74,2615,49140,0,20,49140,4,16373,49140
2026-04-09 14:16:36,15.65,40320.0,51.0,15.0,0,0,4,3223,49140,100,2615,49140,0,20,49140,9,16373,49140
2026-04-09 14:16:42,15.7,40433.0,51.0,7.7,0,0,13,3223,49140,100,2615,49140,0,20,49140,50,16371,49140
2026-04-09 14:16:49,15.73,40514.0,51.0,6.9,0,0,20,3223,49140,100,2615,49140,0,20,49140,61,16373,49140
2026-04-09 14:16:55,15.7,40446.0,51.0,27.1,0,0,3,3223,49140,99,2615,49140,0,20,49140,4,20645,49140
2026-04-09 14:17:02,15.7,40442.0,51.0,16.4,0,0,4,3343,49140,0,2615,49140,0,20,49140,4,20645,49140
2026-04-09 14:17:08,15.71,40451.0,51.0,12.5,0,0,21,3343,49140,100,2615,49140,1,20,49140,3,20643,49140
2026-04-09 14:17:15,15.71,40460.0,51.0,16.2,0,0,13,3343,49140,100,2615,49140,0,20,49140,4,20645,49140
2026-04-09 14:17:21,15.72,40477.0,51.0,11.7,0,0,5,3343,49140,87,2615,49140,0,20,49140,3,20643,49140
